电影,answer,一个演员的演技能烂到什么程度？,吼吼怪本怪,3116,603,https://api.zhihu.com/answers/777706079,郑爽！！！！！！！ 悲伤逆流成河里面。易遥母亲去世，她竟然！！她竟然！！！一滴泪都没有！！！！！！她在手术室里看着盖着白床单的母亲，亲生母亲啊！！就算再对她不好，血肉亲情还是有的吧，况且那时她们的关系已经有所改善了。她就像去世的是一个陌生人！我没有看到一点悲伤的情绪眼睛都不带红的，我不知道她的演技，，，不对，还能叫演技吗。她还有演技吗？？？再有说话永远不会直视别人，永远盯着一个地方用侧脸讲话，我…
应届毕业生,answer,95后的你们现在是什么状态了？,匿名用户,180,100,https://api.zhihu.com/answers/798148584,95年，今年24岁。985本科毕业。职业方向是产品经理，加上实习，入行三年。 月初从公司离职。领导们都觉得我是找好了下家再走，因为走得很急，但实际上没有，我是裸辞。 休息了大半个月，很佛系的找工作中。说实话，我目前的简历，不算差，名校背景，有相关的工作经验，而且有意愿一直从事该行业。 看起来，一切都挺好，有自己明确的职业方向和路径。但是，你要问我目前的状态，我的答案反而是—— 犹豫不决。 其实没有什么好犹豫…
故事,answer,有哪些民间的邪门故事？,为溪,2816,277,https://api.zhihu.com/answers/398097040,2017年，我们村103岁的林长发老人溘然长逝了。我听说过很多关于他的故事，从小到大一直听。他的长寿本身就是一个说不完的故事，据说，林长发这一辈子做了很多善事，才得以如此高龄。 在关于他的众多故事中，最令我难忘的，是“接魂还愿”。 林长发三十多岁时，为了躲避日本鬼子入侵的战乱，从辽宁省拖家带口逃命到黑龙江省，最终流落到我们村。那时候，他已经有了四五个孩子，大的十几岁，小的嗷嗷待哺。为了养活家人，林长发耕…
儿童教育,answer,为什么幼儿园不能开通实时监控给家长？,红豆绿豆大土豆,3562,332,https://api.zhihu.com/answers/797824439,作为一名工龄超过十年的幼师，我坚决支持幼儿园全面监控，反对实时监控。理由如下： 1。 实时监控会侵犯到其他孩子的隐私。我每年有三个月在国内一家幼儿园工作，记忆最深刻的一条朋友圈就是，一个妈妈在晒儿子认真搭积木的监控录像，在她儿子不远处，一个小女孩的裙子卡在桌角上被掀了起来，里面的内裤一览无余。 这位妈妈也许没有什么恶意，但我相信无论是女孩，还是女孩的家人，都不会希望这段视频让很多人看见。遗憾的是，女…
照片,answer,你最照骗的一张照片是什么样子？,Casmark,346,161,https://api.zhihu.com/answers/779910799,大概就是这张了，我前前后后左左右右反反复复P了10分钟左右 给我同学看，都说不像我 上图 这张真是最最最最最照骗的一张了 emmm但是P出来还是很美的嘛 然后是原相机素颜 emmm行叭，面对最真实的自己（叹气） 这是平常拍的照片，我真的太喜欢轻颜 最后！放上一张和男朋友照片
房价,answer,如何看黑龙江鹤岗房价跌成白菜价这一现象？,大众视觉,1872,264,https://api.zhihu.com/answers/762590999,没有最低，只有更低。 山东乳山的二手海景房，最低价仅有1800元，这个数字，不及1998年全国商品房的平均价格。 比乳山更进一步的是 黑龙江鹤岗，一套46平米的房子总价16000元，折合一平方米348元。比鹤岗更夸张的则是 甘肃玉门老市区。据第一财经报道，玉门老市区一套普通住房，最低直接标价一万元，每平米仅有100~200元。有房子要价6.5万元，先后还价到4.5万元和3万元，最后业主表示“反正没人住了，给1万元也不是不可以”。 一…
谢娜（主持人）,answer,如何评价谢娜？,匿名用户,2686,370,https://api.zhihu.com/answers/776651311,看了最近的快乐大本营，突然觉得她有点可怜，几乎所有的游戏都不带她，偶尔露个脸，她努力的想成为舞台的中心，结果越来越远了，像极了爱情 不过她还是很让人生气，比如让吴昕去回答问题，等着看出丑被锅盖砸，结果吴宣仪回答问题的时候她跑到人家身后大声告诉她答案，结果人家还不想搭理她，娜娜你可长点心吧处境太艰难了
海外代购,answer,香港代购水有多深？,骁骁,1258,436,https://api.zhihu.com/answers/688690057,昨天和男朋友一起，第一次去香港，感受了一波崇光店庆，也深深的体会到了香港代购这一行水有多深。 虽然去香港之前就已经罗列好了购物单，但是到那边之后还是经历了一脸懵逼，无从下手，有些商品的价格比代购还贵，稍后分析比代购贵的原因。我们去的是尖沙咀和铜锣湾，那边整条街都是各种各样卖化妆品的店。下面针对不同的店进行介绍： 1 崇光专柜。每年的店庆是5月份和11月份，店庆期间都是各种买套装送小样。科颜氏高保湿面霜5…
即时通讯 (IM),answer,如果可以携号转网，你会放弃移动吗？,老胡丨,10131,2331,https://api.zhihu.com/answers/768297047,我不换，因为我找到薅羊毛的方法了！！！本人河北秦皇岛移动15年以上网龄老用户，经过多年的较量，我基本掌握中国移动的套路，现在所用套餐为26元/月，套餐包含40G不限速流量，超出后限速，150分钟通话，基本满足日常所用。我不知道我这个套餐在知乎里是什么水平，反正我个人觉得是我能参加的性价比最高的套餐了，主要我是老卡。 我来说说这个套餐的组成以及实现方式。6元的固定套餐，包含50分钟通话和来电显示，300兆流量； 20…
感受,answer,见过杨紫本人什么感受？,久别重逢,2447,147,https://api.zhihu.com/answers/750310486,在武汉逛商场见到过！真人绝对白瘦美！她那天在做吕的活动吧 有个瞬间对她转过头对我这个方向微笑了一下 正好有光打在她脸上 眼睛大而且黑眸看着真的像一颗葡萄 是真的好看！而且一点都不胖 小腿好细 那一刻我真真正正的感受到 明星与素人有壁 以前总在网上总看到有人说她丑 那一刻我只想说我也想丑成那样 附一张我拍的糊图（这张没光，有光的那一瞬间我并没有抓拍到，只是真的存在我心里了，真的很好看，骗人是小狗 ）
